date,open,high,low,close,volume,ema7,ema17,enter_tag,support,resistance,enter_long
2024-04-09 00:00:00+00:00,71620.0,71758.19,70833.33,71285.0,4291.79016,,,,0.0,0.0,
2024-04-09 04:00:00+00:00,71285.0,71339.79,70110.0,70383.99,6190.35905,,,,0.0,0.0,
2024-04-09 08:00:00+00:00,70383.98,70905.26,69576.61,70794.85,6972.66696,,,,0.0,0.0,
2024-04-09 12:00:00+00:00,70794.84,70977.0,68535.03,69264.0,12156.24815,,,,0.0,0.0,
2024-04-09 16:00:00+00:00,69264.0,69320.0,68210.0,69000.77,6642.90689,,,,68210.0,0.0,
2024-04-09 20:00:00+00:00,69000.78,69439.6,68888.47,69146.0,3039.93121,,,,0.0,0.0,
2024-04-10 00:00:00+00:00,69146.0,69594.15,68466.63,69150.18,4540.58603,69860.68428571428,,,0.0,69594.15,
2024-04-10 04:00:00+00:00,69150.18,69515.0,69005.55,69336.28,2643.50253,69729.58321428571,,,0.0,0.0,
2024-04-10 08:00:00+00:00,69336.27,69336.28,68629.99,69043.0,4809.39998,69557.93741071428,,,0.0,0.0,
2024-04-10 12:00:00+00:00,69043.0,69204.28,67518.0,68657.32,13749.00779,69332.78305803571,,,67518.0,0.0,
2024-04-10 16:00:00+00:00,68657.31,70098.89,68556.0,70083.99,9298.63372,69520.58479352678,,,0.0,0.0,
2024-04-10 20:00:00+00:00,70084.0,71172.08,69581.03,70631.08,6964.89372,69798.20859514509,,,0.0,0.0,
2024-04-11 00:00:00+00:00,70631.08,71062.0,70285.13,70851.67,4013.72496,70061.57394635881,,,0.0,0.0,
2024-04-11 04:00:00+00:00,70851.66,71305.89,70378.11,70735.99,3777.07402,70230.1779597691,,,0.0,71305.89,
2024-04-11 08:00:00+00:00,70736.0,71256.27,69881.31,69983.16,5151.60119,70168.42346982683,,,0.0,0.0,
2024-04-11 12:00:00+00:00,69983.16,71100.0,69567.21,70000.0,11347.13026,70126.31760237012,,,69567.21,0.0,
2024-04-11 16:00:00+00:00,70000.0,70529.73,69574.88,70459.67,4574.37082,70209.65570177759,69929.82058823528,,0.0,0.0,
2024-04-11 20:00:00+00:00,70459.67,70746.09,69804.87,70006.23,3053.3547,70158.79927633319,69938.3105228758,,0.0,0.0,
2024-04-12 00:00:00+00:00,70006.22,70996.91,70002.22,70977.27,4545.17393,70363.4169572499,70053.7504647785,,0.0,0.0,
2024-04-12 04:00:00+00:00,70977.27,71227.46,70566.02,70764.01,3687.50378,70463.56521793742,70132.66819091422,,0.0,71227.46,
2024-04-12 08:00:00+00:00,70764.0,70972.0,70509.58,70904.01,3928.05462,70573.67641345307,70218.3728363682,,0.0,0.0,
2024-04-12 12:00:00+00:00,70904.0,70975.54,69236.95,69347.3,10668.68172,70267.0823100898,70121.58696566062,,0.0,0.0,
